2019-10-24 19:30:53,083 | TaskManagerRemote | INFO |  -- ML modules loaded! --
2019-10-24 19:30:53,083 | TaskManagerRemote | INFO | Modules loaded-----------------------Wait call
2019-10-24 19:30:53,085 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:53,749 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:54,131 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:54,504 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:54,874 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:55,241 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:55,607 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:55,973 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:56,338 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:56,789 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:57,150 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:57,515 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:57,885 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:58,259 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:58,660 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:59,039 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:59,420 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:30:59,802 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:00,147 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:00,537 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:00,914 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:01,295 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:01,672 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:02,050 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:02,429 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:02,805 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:03,179 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:03,511 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:03,887 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:04,259 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:04,632 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:05,019 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:05,394 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:05,841 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:06,264 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:06,754 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:07,144 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:07,515 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:07,887 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:08,256 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:08,631 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:09,003 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:09,374 | TaskManagerRemote | INFO | Processing frame --------------------------------------
2019-10-24 19:31:09,743 | TaskManagerRemote | INFO | Processing frame --------------------------------------
